pick_id,logged_date,match_date,league_code,league_name,home_team,away_team,sport,metric,scope,team,direction,line,confidence,label,status,actual_value,result,settled_date
football|Lyon|Rennes|19/09/2026|corners|match|Over,2026-09-19,19/09/2026,F1,Ligue 1,Lyon,Rennes,football,corners,match,,Over,8.5,0.998,Lyon v Rennes - Over 8.5 Corners,pending,,,
football|Newcastle|Hull|19/09/2026|cards|away|Over,2026-09-19,19/09/2026,E0,Premier League,Newcastle,Hull,football,cards,away,Hull,Over,0.5,0.996,Hull - Over 0.5 Cards,pending,,,
football|Barnet|Fleetwood Town|19/09/2026|corners|home|Over,2026-09-19,19/09/2026,E3,League Two,Barnet,Fleetwood Town,football,corners,home,Barnet,Over,2.5,0.995,Barnet - Over 2.5 Corners,pending,,,
football|Barnsley|Leicester|19/09/2026|corners|home|Over,2026-09-19,19/09/2026,E2,League One,Barnsley,Leicester,football,corners,home,Barnsley,Over,2.5,0.994,Barnsley - Over 2.5 Corners,pending,,,
football|Stuttgart|Dortmund|19/09/2026|corners|home|Over,2026-09-19,19/09/2026,D1,Bundesliga,Stuttgart,Dortmund,football,corners,home,Stuttgart,Over,2.5,0.994,Stuttgart - Over 2.5 Corners,pending,,,
football|Everton|Ipswich|19/09/2026|second_half_goals|match|Over,2026-09-19,19/09/2026,E0,Premier League,Everton,Ipswich,football,second_half_goals,match,,Over,0.5,0.993,Everton v Ipswich - Over 0.5 2nd-Half Goals,pending,,,
football|Lyon|Rennes|19/09/2026|corners|away|Over,2026-09-19,19/09/2026,F1,Ligue 1,Lyon,Rennes,football,corners,away,Rennes,Over,2.5,0.991,Rennes - Over 2.5 Corners,pending,,,
football|Brighton|Arsenal|19/09/2026|cards|home|Over,2026-09-19,19/09/2026,E0,Premier League,Brighton,Arsenal,football,cards,home,Brighton,Over,0.5,0.99,Brighton - Over 0.5 Cards,pending,,,
football|Kilmarnock|Hearts|19/09/2026|cards|home|Over,2026-09-19,19/09/2026,SC0,Scottish Premiership,Kilmarnock,Hearts,football,cards,home,Kilmarnock,Over,0.5,0.987,Kilmarnock - Over 0.5 Cards,pending,,,
football|Ath Bilbao|Alaves|19/09/2026|corners|home|Over,2026-09-19,19/09/2026,SP1,La Liga,Ath Bilbao,Alaves,football,corners,home,Ath Bilbao,Over,2.5,0.987,Ath Bilbao - Over 2.5 Corners,pending,,,
