Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,HxG,AxG,League,Season
F1,04/01/2026,19:45,Paris SG,Paris FC,2,1,H,1,0,H,,20,6,6,3,7,1,1,0,0,0,,,F1,2526
F1,16/01/2026,18:00,Monaco,Lorient,1,3,A,0,0,D,,14,14,7,4,4,3,1,0,0,0,,,F1,2526
F1,16/01/2026,20:00,Paris SG,Lille,3,0,H,1,0,H,,13,7,7,4,4,2,0,1,0,0,,,F1,2526
F1,17/01/2026,16:00,Lens,Auxerre,1,0,H,0,0,D,,19,5,7,0,1,5,2,5,0,0,,,F1,2526
F1,17/01/2026,18:00,Toulouse,Nice,5,1,H,2,0,H,,22,15,10,6,6,7,1,2,0,0,,,F1,2526
F1,17/01/2026,20:05,Angers,Marseille,2,5,A,1,4,A,,7,23,3,11,6,2,1,1,0,0,,,F1,2526
F1,18/01/2026,14:00,Strasbourg,Metz,2,1,H,2,1,H,,14,9,6,2,4,1,2,3,0,0,,,F1,2526
F1,18/01/2026,16:15,Nantes,Paris FC,1,2,A,0,1,A,,5,10,1,3,1,2,1,3,0,0,,,F1,2526
F1,18/01/2026,16:15,Rennes,Le Havre,1,1,D,0,0,D,,19,7,7,4,10,6,1,4,0,0,,,F1,2526
F1,18/01/2026,19:45,Lyon,Brest,2,1,H,2,0,H,,19,5,6,2,5,0,2,0,0,1,,,F1,2526
F1,23/01/2026,19:00,Auxerre,Paris SG,0,1,A,0,0,D,,8,16,0,8,2,7,0,1,0,0,,,F1,2526
F1,24/01/2026,16:00,Rennes,Lorient,0,2,A,0,1,A,,22,6,5,4,9,3,2,0,0,0,,,F1,2526
F1,24/01/2026,18:00,Le Havre,Monaco,0,0,D,0,0,D,,7,10,1,2,5,6,0,3,0,0,,,F1,2526
F1,24/01/2026,20:05,Marseille,Lens,3,1,H,2,0,H,,10,7,5,2,2,2,0,3,0,0,,,F1,2526
F1,25/01/2026,14:00,Nantes,Nice,1,4,A,1,3,A,,20,7,5,4,4,2,2,3,0,0,,,F1,2526
F1,25/01/2026,16:15,Brest,Toulouse,0,2,A,0,2,A,,13,8,5,5,3,2,2,3,0,0,,,F1,2526
F1,25/01/2026,16:15,Metz,Lyon,2,5,A,1,4,A,,15,13,6,10,6,4,1,0,0,0,,,F1,2526
F1,25/01/2026,16:15,Paris FC,Angers,0,0,D,0,0,D,,8,7,1,1,2,1,1,1,0,0,,,F1,2526
F1,25/01/2026,19:45,Lille,Strasbourg,1,4,A,0,2,A,,20,15,6,6,8,1,2,2,0,0,,,F1,2526
F1,30/01/2026,19:45,Lens,Le Havre,1,0,H,1,0,H,,15,8,3,2,4,3,1,2,0,0,,,F1,2526
F1,31/01/2026,16:00,Paris FC,Marseille,2,2,D,0,1,A,,9,18,4,4,4,4,1,4,0,0,,,F1,2526
F1,31/01/2026,18:00,Lorient,Nantes,2,1,H,1,0,H,,5,10,4,2,1,4,4,5,0,0,,,F1,2526
F1,31/01/2026,20:05,Monaco,Rennes,4,0,H,1,0,H,,14,8,6,4,5,2,1,2,0,0,,,F1,2526
F1,01/02/2026,14:00,Lyon,Lille,1,0,H,1,0,H,,4,11,2,4,2,7,1,4,0,0,,,F1,2526
F1,01/02/2026,16:15,Angers,Metz,1,0,H,1,0,H,,17,5,7,0,4,3,2,2,0,1,,,F1,2526
F1,01/02/2026,16:15,Nice,Brest,2,2,D,0,2,A,,15,12,7,2,6,5,5,3,0,0,,,F1,2526
F1,01/02/2026,16:15,Toulouse,Auxerre,0,0,D,0,0,D,,12,8,4,2,5,4,1,2,0,0,,,F1,2526
F1,01/02/2026,19:45,Strasbourg,Paris SG,1,2,A,1,1,D,,9,13,4,4,5,6,1,0,0,1,,,F1,2526
F1,06/02/2026,19:45,Metz,Lille,0,0,D,0,0,D,,6,16,2,1,1,6,1,1,0,0,,,F1,2526
F1,07/02/2026,16:00,Lens,Rennes,3,1,H,1,1,D,,10,14,3,1,4,4,4,2,1,0,,,F1,2526
F1,07/02/2026,18:00,Brest,Lorient,2,0,H,0,0,D,,11,13,5,2,7,7,2,0,0,0,,,F1,2526
F1,07/02/2026,20:05,Nantes,Lyon,0,1,A,0,1,A,,13,10,2,3,5,4,4,2,0,1,,,F1,2526
F1,08/02/2026,14:00,Nice,Monaco,0,0,D,0,0,D,,13,10,3,2,8,6,2,2,0,0,,,F1,2526
F1,08/02/2026,16:15,Angers,Toulouse,1,0,H,0,0,D,,12,12,4,5,3,5,3,2,0,0,,,F1,2526
F1,08/02/2026,16:15,Auxerre,Paris FC,0,0,D,0,0,D,,12,8,2,4,7,4,1,4,0,0,,,F1,2526
F1,08/02/2026,16:15,Le Havre,Strasbourg,2,1,H,1,1,D,,15,10,7,3,9,3,2,1,0,1,,,F1,2526
F1,08/02/2026,19:45,Paris SG,Marseille,5,0,H,2,0,H,,22,9,7,3,5,2,2,2,0,0,,,F1,2526
F1,13/02/2026,18:00,Rennes,Paris SG,3,1,H,1,0,H,,13,22,4,7,5,8,0,0,0,0,,,F1,2526
